,datetime,description,icon
0,2024-07-01,Partly cloudy throughout the day with afternoon rain.,rain
1,2024-07-02,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-07-03,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2024-07-04,Partly cloudy throughout the day with late afternoon rain.,rain
4,2024-07-05,Cloudy skies throughout the day with morning rain.,rain
5,2024-07-06,Cloudy skies throughout the day with morning rain.,rain
6,2024-07-07,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-07-08,Becoming cloudy in the afternoon.,partly-cloudy-day
