,datetime,tempmin,temp,tempmax
0,2024-07-01,18.0,22.3,23.9
1,2024-07-02,18.1,22.0,25.1
2,2024-07-03,19.2,22.9,26.7
3,2024-07-04,18.3,23.3,29.3
4,2024-07-05,21.2,23.9,27.9
5,2024-07-06,23.4,24.7,26.7
6,2024-07-07,22.9,25.3,30.6
7,2024-07-08,20.7,25.1,28.0
