,datetime,description,icon
0,2024-06-17,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-06-18,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-06-19,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-06-20,Partly cloudy throughout the day with late afternoon rain.,rain
4,2024-06-21,Clearing in the afternoon with late afternoon rain.,rain
5,2024-06-22,Cloudy skies throughout the day with rain.,rain
6,2024-06-23,Cloudy skies throughout the day with rain.,rain
7,2024-06-24,Partly cloudy throughout the day with late afternoon rain.,rain
