,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-06-17,26.7,15.6,21.2,27.3,15.6,21.2,14.3,65.7,0.0,0,0.0,,0,0,39.7,27.5,200.3,1021.9,79.5,16.0,249.1,21.3,9,10,2024-06-17T05:07:03,2024-06-17T20:23:46,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-06-18,33.4,19.9,25.8,36.3,19.9,27.0,19.2,67.8,0.0,0,0.0,,0,0,33.5,23.7,197.6,1022.0,47.8,16.0,285.2,24.6,8,30,2024-06-18T05:07:11,2024-06-18T20:24:03,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2024-06-19,36.6,21.7,27.7,41.9,21.7,29.6,19.8,62.9,0.0,0,0.0,,0,0,47.9,27.2,221.3,1024.6,64.0,16.0,270.9,23.3,8,30,2024-06-19T05:07:20,2024-06-19T20:24:19,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2024-06-20,35.0,20.7,28.6,39.8,20.7,30.7,19.9,60.2,7.231,100,12.5,rain,0,0,73.3,27.3,242.7,1022.9,77.7,15.8,241.3,20.7,8,30,2024-06-20T05:07:31,2024-06-20T20:24:33,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2024-06-21,27.9,17.9,22.4,30.3,17.9,22.7,18.4,78.7,12.581,100,12.5,rain,0,0,37.1,25.7,51.5,1021.6,65.7,15.0,231.4,20.1,8,10,2024-06-21T05:07:44,2024-06-21T20:24:45,0.5,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2024-06-22,20.0,17.2,18.3,20.0,17.2,18.3,16.8,90.6,2.821,100,20.83,rain,0,0,16.6,20.3,55.4,1017.8,98.6,14.3,72.8,6.2,3,10,2024-06-22T05:07:59,2024-06-22T20:24:54,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2024-06-23,30.7,16.2,22.3,34.3,16.2,23.3,19.8,86.5,2.016,100,29.17,rain,0,0,53.5,31.4,186.4,1006.9,93.9,11.2,147.2,12.7,6,30,2024-06-23T05:08:16,2024-06-23T20:25:02,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2024-06-24,27.2,19.4,24.7,27.3,19.4,24.7,16.9,64.0,0.019,100,4.17,rain,0,0,52.6,32.9,257.9,999.7,79.7,15.6,274.0,23.8,10,10,2024-06-24T05:08:35,2024-06-24T20:25:08,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
