,datetime,tempmin,temp,tempmax
0,2024-06-17,15.6,21.2,26.7
1,2024-06-18,19.9,25.8,33.4
2,2024-06-19,21.7,27.7,36.6
3,2024-06-20,20.7,28.6,35.0
4,2024-06-21,17.9,22.4,27.9
5,2024-06-22,17.2,18.3,20.0
6,2024-06-23,16.2,22.3,30.7
7,2024-06-24,19.4,24.7,27.2
