,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-06-24,27.2,19.4,24.7,27.3,19.4,24.7,16.9,64.0,0.019,100,4.17,rain,0,0,52.6,32.9,257.9,999.7,79.7,15.6,274.0,23.8,10,10,2024-06-24T05:08:35,2024-06-24T20:25:08,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-06-25,31.7,18.3,25.2,30.4,18.3,24.8,13.6,52.6,1.927,100,4.17,rain,0,0,38.8,23.5,289.5,1008.0,54.3,15.8,296.3,25.2,9,10,2024-06-25T05:08:55,2024-06-25T20:25:11,0.63,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2024-06-26,32.2,21.2,26.2,33.6,21.2,26.7,16.8,57.6,42.662,100,20.83,rain,0,0,51.5,32.9,229.8,1005.9,81.9,15.2,259.5,22.6,8,30,2024-06-26T05:09:18,2024-06-26T20:25:12,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2024-06-27,29.3,18.9,23.4,28.6,18.9,23.4,15.7,65.8,8.449,100,25.0,rain,0,0,60.8,45.4,263.9,1005.7,67.5,15.7,291.9,25.2,10,10,2024-06-27T05:09:42,2024-06-27T20:25:12,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2024-06-28,22.3,15.5,18.8,22.3,15.5,18.8,7.4,48.3,0.0,0,0.0,,0,0,44.0,27.5,326.9,1018.8,21.5,16.0,318.5,27.7,9,10,2024-06-28T05:10:08,2024-06-28T20:25:09,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2024-06-29,22.9,16.7,19.9,22.9,16.7,19.9,13.6,67.5,0.004,100,4.17,rain,0,0,49.8,31.4,194.2,1021.8,94.1,16.0,113.6,9.8,6,10,2024-06-29T05:10:36,2024-06-29T20:25:04,0.77,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2024-06-30,30.0,22.8,25.3,34.5,22.8,26.4,21.9,82.0,0.556,100,16.67,rain,0,0,46.4,25.7,214.9,1011.2,89.9,16.0,165.4,14.3,8,60,2024-06-30T05:11:05,2024-06-30T20:24:57,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2024-07-01,23.9,18.0,22.3,23.9,18.0,22.3,15.8,67.2,3.8,100,16.67,rain,0,0,53.6,25.8,7.5,1014.3,62.8,15.5,203.8,17.6,9,10,2024-07-01T05:11:36,2024-07-01T20:24:47,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,0518W,KBOS,72509014739,72505914702"
