,datetime,description,icon
0,2024-06-24,Partly cloudy throughout the day with late afternoon rain.,rain
1,2024-06-25,Becoming cloudy in the afternoon with early morning rain.,rain
2,2024-06-26,Partly cloudy throughout the day with late afternoon rain.,rain
3,2024-06-27,Partly cloudy throughout the day with rain clearing later.,rain
4,2024-06-28,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-06-29,Cloudy skies throughout the day with late afternoon rain.,rain
6,2024-06-30,Partly cloudy throughout the day with rain.,rain
7,2024-07-01,Partly cloudy throughout the day with afternoon rain.,rain
