,datetime,description,icon
0,2024-07-29,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,2024-07-30,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-07-31,Partly cloudy throughout the day with rain.,rain
3,2024-08-01,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-08-02,Partly cloudy throughout the day with rain.,rain
5,2024-08-03,Partly cloudy throughout the day with early morning rain.,rain
6,2024-08-04,Partly cloudy throughout the day with rain.,rain
7,2024-08-05,Becoming cloudy in the afternoon.,partly-cloudy-day
