,datetime,tempmin,temp,tempmax
0,2024-07-29,18.9,20.5,22.8
1,2024-07-30,18.9,25.7,31.7
2,2024-07-31,21.2,24.8,28.9
3,2024-08-01,23.8,28.8,34.3
4,2024-08-02,23.4,26.8,30.1
5,2024-08-03,23.4,27.2,32.8
6,2024-08-04,22.3,25.2,30.5
7,2024-08-05,22.1,25.2,28.9
