,datetime,description,icon
0,2024-07-15,Partly cloudy throughout the day with rain.,rain
1,2024-07-16,Partly cloudy throughout the day with late afternoon rain.,rain
2,2024-07-17,Partly cloudy throughout the day with late afternoon rain.,rain
3,2024-07-18,Partly cloudy throughout the day with early morning rain.,rain
4,2024-07-19,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-07-20,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-07-21,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-07-22,Partly cloudy throughout the day.,partly-cloudy-day
