,datetime,tempmin,temp,tempmax
0,2024-07-08,20.7,25.1,28.0
1,2024-07-09,22.8,27.0,31.2
2,2024-07-10,23.9,26.9,31.8
3,2024-07-11,24.4,27.0,31.7
4,2024-07-12,21.7,26.1,30.6
5,2024-07-13,23.4,25.2,27.9
6,2024-07-14,22.8,25.7,29.2
7,2024-07-15,22.8,27.1,34.3
