,datetime,description,icon
0,2024-08-05,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2024-08-06,Cloudy skies throughout the day with rain.,rain
2,2024-08-07,Partly cloudy throughout the day with rain clearing later.,rain
3,2024-08-08,Partly cloudy throughout the day with late afternoon rain.,rain
4,2024-08-09,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
5,2024-08-10,Partly cloudy throughout the day with rain clearing later.,rain
6,2024-08-11,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-08-12,Becoming cloudy in the afternoon with afternoon rain.,rain
