,datetime,description,icon
0,2024-07-22,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-07-23,Cloudy skies throughout the day with rain clearing later.,rain
2,2024-07-24,Cloudy skies throughout the day with rain.,rain
3,2024-07-25,Cloudy skies throughout the day with afternoon rain.,rain
4,2024-07-26,Becoming cloudy in the afternoon.,partly-cloudy-day
5,2024-07-27,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-07-28,Becoming cloudy in the afternoon with late afternoon rain.,rain
7,2024-07-29,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
