,datetime,tempmin,temp,tempmax
0,2024-07-22,17.2,22.0,27.2
1,2024-07-23,18.9,21.4,23.4
2,2024-07-24,17.9,18.9,20.0
3,2024-07-25,16.8,22.5,27.8
4,2024-07-26,18.7,23.8,29.4
5,2024-07-27,19.3,23.1,27.9
6,2024-07-28,17.2,20.9,25.1
7,2024-07-29,18.9,20.5,22.8
