,datetime,description,icon
0,2024-08-12,Becoming cloudy in the afternoon with afternoon rain.,rain
1,2024-08-13,Becoming cloudy in the afternoon.,partly-cloudy-day
2,2024-08-14,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-08-15,Partly cloudy throughout the day with rain.,rain
4,2024-08-16,Partly cloudy throughout the day with early morning rain.,rain
5,2024-08-17,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-08-18,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-08-19,Partly cloudy throughout the day with a chance of rain.,rain
